"il","bolge","GSYH","bebek_olum_hizi","cocuk_olum_hizi","derslik_basina_ogrenci","girisim_sayisi","hastane_sayisi","hastane_yatak_sayisi","ihracat","isgucune_katilma_orani","issizlik_orani","istihdam_orani","kutuphane_sayisi","muze_sayisi","ogretmen_basina_ogrenci","sinema_sayisi","tiyatro_sayisi","toplam_hekim_sayisi"
"Mardin","Güneydoğu Anadolu",147.00285503174,12.225,15.4666666666667,24.5,0.0262106094503846,1.35700799639579e-05,179.666666666667,1.12763180392501,43.1,12.625,37.65,1.10256899707158e-05,1.41354999624561e-06,20,1.92242799489403e-05,5.37148998573332e-06,1
"Mersin","Akdeniz",253.944383717871,8.075,10.45,26.5,0.0507982925382272,1.38505259523648e-05,266.166666666667,1.55499062668892,51.525,7.5,47.65,1.20383076034572e-05,4.14221336893151e-06,17.5,2.2393841025786e-05,8.15498257008392e-06,2
"Muğla","Ege",279.737171827386,6.9,8.26666666666667,18.75,0.0768630643560968,2.16268018887156e-05,228,1.00715188935502,55.35,7.15,51.375,1.31641402800878e-05,7.52236587433587e-06,14.25,4.04327165745553e-05,1.19887706122228e-05,2
"Muş","Doğu Anadolu",120.691587053069,14.025,16.8333333333333,17.75,0.0211218806921561,1.76256976628828e-05,189.666666666667,0.278214083738179,48.175,12.4,42.2,2.01436544718661e-05,5.03591361796653e-06,17,7.55387042694979e-06,1.19602948426705e-05,1
"Nevşehir","İç Anadolu",194.489506936538,11.45,13.9333333333333,15.25,0.0595060142102016,3.25995000349848e-05,260.833333333333,0.315341165694512,53.025,6.65,49.5,0.000100978939132758,1.5902195139017e-05,14.25,4.45261463892476e-05,7.15598781255765e-06,1.5
"Niğde","İç Anadolu",190.159963397474,11.425,13.6333333333333,15.75,0.0442795334472846,2.15816780186293e-05,250.666666666667,0.206238831481625,50.975,8.725,46.5,4.11400737230121e-05,2.69770975232866e-06,15.5,1.48374036378076e-05,3.37213719041083e-06,1.25
"Ordu","Karadeniz",150.516702768674,7.025,8.06666666666667,19.25,0.0436242725326025,2.34456815659631e-05,297.666666666667,0.466935076302668,55.375,7.2,51.35,3.25634466193932e-05,1.30253786477573e-06,15.25,2.53994883631267e-05,1.10715718505937e-05,2
"Osmaniye","Akdeniz",176.919939132827,9.875,12.9666666666667,22.75,0.039013267784437,1.78873789158603e-05,263.666666666667,0.453091600909681,48.175,13.375,41.775,1.43099031326882e-05,2.68310683737904e-06,16.75,1.34155341868952e-05,4.47184472896507e-06,1
"Rize","Karadeniz",185.042111708152,6.925,8.93333333333333,15,0.0482632857930417,3.17165943528315e-05,324,0.621170077065558,57.35,8.4,52.55,4.61332281495732e-05,5.76665351869664e-06,14.75,5.3341545047944e-05,1.22541387272304e-05,2.25
"Sakarya","Marmara",254.478201695113,6.7,8.31666666666667,21,0.0500260436696892,1.68996102858519e-05,215.5,5.22667346792244,57.825,8.5,52.925,1.41591329422002e-05,9.13492447883886e-07,16.5,3.1515489451994e-05,7.30793958307108e-06,2
"Samsun","Karadeniz",191.172668380419,8.075,10.2333333333333,17.5,0.046803674997138,1.84994762834538e-05,382.166666666667,0.934432197388106,54.65,8.125,50.225,1.34211886762312e-05,2.17640897452397e-06,14.75,2.33963964761327e-05,3.62734829087329e-06,2.5
"Siirt","Güneydoğu Anadolu",138.819652878046,13.975,17.0833333333333,20.25,0.0198716899123264,2.38162575728257e-05,237.833333333333,0.148818862475998,39.5,11.65,34.95,2.15834834253732e-05,2.2327741474524e-06,17.75,3.27473541626353e-05,2.2327741474524e-06,1
"Sinop","Karadeniz",167.338080176299,7.875,8.83333333333333,16.5,0.0450699723997261,3.12018599874479e-05,311,0.182241149369544,51.65,5.85,48.65,4.45740856963542e-05,1.44865778513151e-05,15,1.67152821361328e-05,3.45449164146745e-05,2
"Sivas","İç Anadolu",185.984700240199,9.6,11.0333333333333,16,0.0380170220956821,3.13493971824416e-05,442.333333333333,0.167236807703425,51.125,9.2,46.425,3.87948790132715e-05,4.70240957736624e-06,15,2.78225899994169e-05,7.05361436604935e-06,2.25
"Tekirdağ","Marmara",347.185318009945,7.275,8.98333333333333,28.5,0.0487976910939273,1.71865217109595e-05,276.666666666667,1.80824894607952,59.525,7.425,55.1,8.59326085547974e-06,1.71865217109595e-06,19.5,3.2654391250823e-05,1.00970815051887e-05,2
"Tokat","Karadeniz",135.64149523373,8.175,9.65,17.75,0.0400347701935854,2.47298674149375e-05,375,0.0614256933430494,53.325,6.475,49.875,2.34933740441906e-05,4.9459734829875e-06,14,3.75069655793219e-05,3.70948011224062e-06,2
"Trabzon","Karadeniz",178.257082451813,8,9.11666666666667,18.25,0.0494402448733778,2.67988613894674e-05,409,1.37419591234531,54.5,8.35,49.975,2.25354061684157e-05,1.82719509473641e-06,15,2.83215239684144e-05,1.03541055368397e-05,3
"Tunceli","Doğu Anadolu",243.512763301734,9.275,10.3666666666667,14.75,0.0400211643664792,6.9926320966475e-05,175.833333333333,0.00345902201047496,48.7,6.525,45.55,8.15807077942208e-05,1.16543868277458e-05,13.25,1.16543868277458e-05,1.45679835346823e-05,2
"Uşak","Ege",215.341035127787,10.475,11.1666666666667,18.75,0.0551829442243674,1.93296941962393e-05,318.666666666667,0.952686774169983,53.925,8.2,49.5,2.5995105988046e-05,5.33232943344533e-06,13.25,2.86612707047687e-05,8.66503532934866e-06,2
"Van","Doğu Anadolu",100.055671938894,11.425,14.2166666666667,22.75,0.0238377293834749,1.33274668785793e-05,268.5,0.0211176378184465,45.825,17.55,37.725,1.35495913265556e-05,1.77699558381058e-06,18.25,9.55135126298184e-06,6.88585788726598e-06,2
"Yalova","Marmara",282.098529667624,7.975,9.8,20.5,0.054000447199085,2.31537987776117e-05,252.333333333333,2.51118229250392,52.3,10.425,46.85,1.07499780038912e-05,3.30768553965882e-06,17.5,5.0442204479797e-05,6.61537107931764e-06,2
"Yozgat","İç Anadolu",158.47169039496,9.25,11.15,14.5,0.0427517142432138,3.71879213631413e-05,299.166666666667,0.0950398510563769,52.075,7.4,48.25,4.37857783791824e-05,2.39922073310589e-06,13.75,3.53885058133118e-05,3.59883109965883e-06,2
"Zonguldak","Karadeniz",211.777408385177,8.025,9.18333333333333,16.75,0.0434873173287065,2.03964318482125e-05,389.333333333333,0.940978165279766,51.15,10.9,45.575,1.35976212321417e-05,3.39940530803541e-06,13,3.90931610424072e-05,9.77329026060181e-06,2
"Çanakkale","Marmara",270.358987314936,5.85,7.5,19.75,0.0610208119854422,2.47341083353945e-05,316.333333333333,0.333391399597187,53.5,6.2,50.225,2.29673863114378e-05,1.76672202395675e-06,15,2.16423447934702e-05,1.63421787215999e-05,2.5
"Çankırı","İç Anadolu",227.148611856814,8.125,10.5,16.5,0.0354310576252715,4.50760884372821e-05,239,1.83761389225012,50.725,6.075,47.675,6.51099055205186e-05,5.00845427080913e-06,17.5,2.00338170832365e-05,1.12690221093205e-05,1.5
"Çorum","Karadeniz",171.612609974928,6.975,9.01666666666667,17.25,0.047540012398423,3.05379877298365e-05,323,4.92956565820052,49.525,7.375,45.9,3.72181725457383e-05,5.72587269934435e-06,16,2.05177105059839e-05,3.34009240795087e-06,2
"İstanbul","Marmara",440.249163934308,6.975,8.6,29.25,0.0717166391306768,1.47253825524411e-05,293.166666666667,7.29304980964471,57.025,9.225,51.725,4.5808778876808e-06,9.8274888939865e-07,21.75,4.46992236790999e-05,1.26806308309503e-05,3
"İzmir","Ege",314.601738783947,8.05,9.23333333333333,25.25,0.0619332695038546,1.41964177005497e-05,293.833333333333,3.08963363271305,55.125,11.5,48.8,9.38975658933993e-06,2.23565633079522e-06,16.25,3.2305233979991e-05,1.34139379847713e-05,3.25
"Şanlıurfa","Güneydoğu Anadolu",107.688974886224,16.75,20,30.75,0.0270922654616836,9.06565793695179e-06,193.833333333333,0.153641144452284,45.4,8.95,41.35,5.43939476217108e-06,6.79924345271385e-07,25.75,1.08787895243422e-05,2.37973520844985e-06,1
"Şırnak","Güneydoğu Anadolu",156.557681319387,12.35,15.95,22,0.0172508211763296,1.24138522985666e-05,132,1.338397357481,42.4,13.1,36.925,1.24138522985666e-05,1.33005560341785e-06,20,1.41872597697904e-05,3.10346307464166e-06,1
